id,Дата,UserID,Продукт,Количество,Цена
177,2023-09-01,3189,Headphones,6,77.42
178,2023-09-14,4109,Laptop,0,6.34
179,2023-07-27,3707,Smartwatch,1,6.87
180,2024-03-05,9062,Tablet,2,88.93
181,2024-07-11,3484,Tablet,0,97.81
182,2023-10-29,3015,Smartphone,6,74.09
183,2023-08-06,3926,Headphones,2,96.75
184,2024-03-28,8899,Smartwatch,6,72.54
185,2024-05-01,3026,Laptop,3,29.88
186,2023-11-20,8657,Smartwatch,9,33.04
187,2023-12-08,9886,Tablet,1,44.35
188,2024-02-24,1666,Tablet,8,53.41
189,2023-12-23,2376,Smartphone,3,59.1
190,2024-07-07,1229,Tablet,3,98.05
191,2023-11-14,9941,Smartphone,3,71.12
192,2023-11-06,9514,Headphones,1,0.24
193,2024-07-03,3687,Smartphone,6,86.97
194,2024-07-07,5679,Smartwatch,7,84.85
195,2024-02-16,7486,Laptop,6,66.52
196,2023-12-31,9107,Tablet,5,66.36
197,2024-01-28,4821,Smartwatch,4,76.06
198,2023-07-30,2744,Smartphone,5,33.6
199,2023-10-06,7450,Smartwatch,6,98.68
200,2023-11-04,5376,Smartphone,6,42.14
201,2024-06-24,9015,Laptop,4,82.71
202,2023-10-16,4449,Smartphone,4,16.52
203,2024-03-25,7175,Smartphone,5,71.62
204,2024-01-18,2843,Smartphone,8,4.71
205,2023-09-11,8776,Tablet,5,16.89
206,2023-12-10,6711,Smartwatch,9,55.18
207,2024-06-28,1894,Laptop,5,96.65
208,2024-04-28,4308,Smartwatch,5,28.9
209,2023-08-11,2872,Laptop,9,23.14
210,2023-11-13,7897,Headphones,4,25.24
211,2023-09-26,1029,Tablet,0,20.65
212,2024-03-18,2338,Laptop,2,0.79
213,2024-04-30,5680,Tablet,6,44.96
214,2024-05-03,3943,Laptop,6,22.42
215,2023-10-15,4403,Smartwatch,9,46.21
216,2023-08-11,6522,Headphones,3,97.3
217,2024-05-27,9260,Headphones,8,7.76
218,2023-10-04,2539,Headphones,7,46.05
219,2024-02-24,1231,Laptop,5,97.43
220,2024-04-01,9558,Smartphone,8,62.52
221,2024-03-28,4365,Smartwatch,3,14.64
222,2024-02-07,9289,Laptop,2,90.16
223,2023-11-26,6441,Headphones,3,24.82
224,2024-06-09,4270,Headphones,8,16.84
225,2024-01-06,2830,Headphones,3,20.86
226,2023-07-25,9507,Headphones,2,16.58
227,2023-08-09,1997,Headphones,4,3.26
228,2024-01-11,4866,Tablet,9,51.63
229,2024-01-30,9344,Laptop,0,93.87
230,2023-07-27,4379,Smartphone,2,50.04
231,2023-10-17,7916,Headphones,2,13.69
232,2024-04-05,5721,Smartphone,2,95.31
233,2024-04-08,2389,Headphones,9,75.12
234,2024-04-28,9001,Smartphone,6,50.91
235,2023-10-26,2328,Laptop,4,20.41
236,2023-12-12,1338,Tablet,1,58.45
237,2024-04-27,2075,Tablet,0,29.4
238,2023-08-20,1355,Smartwatch,5,92.06
239,2024-04-13,1848,Smartwatch,9,41.44
240,2024-06-28,6990,Headphones,8,66.06
241,2024-05-12,2745,Tablet,1,52.94
242,2023-09-22,2241,Smartwatch,6,45.22
243,2023-08-02,3524,Tablet,0,81.79
244,2024-03-10,4565,Smartphone,5,64.54
245,2023-12-09,7753,Headphones,7,88.46
246,2024-07-02,5482,Headphones,0,0.34
247,2024-05-01,1423,Tablet,3,81.12
248,2024-03-15,4146,Tablet,7,66.74
249,2023-08-14,3173,Headphones,9,53.36
250,2023-09-12,7795,Smartphone,5,42.65
251,2024-02-24,2490,Headphones,6,51.59
252,2023-10-04,7259,Smartwatch,1,58.25
253,2024-04-10,1799,Smartphone,5,61.12
254,2023-07-24,4412,Smartphone,3,62.42
255,2024-05-07,4140,Smartwatch,6,99.07
256,2023-11-19,8814,Laptop,0,99.32
257,2023-11-13,6691,Headphones,8,37.0
258,2023-11-03,8583,Smartphone,2,99.6
259,2023-09-07,6006,Tablet,4,44.3
260,2024-05-20,3995,Smartwatch,7,72.16
261,2023-09-24,8043,Laptop,7,60.04
262,2023-08-18,5130,Headphones,0,51.76
263,2024-02-13,3121,Tablet,5,81.68
264,2024-01-14,6768,Smartwatch,1,91.8
265,2023-11-13,2587,Smartphone,7,24.83
266,2023-09-11,9989,Smartwatch,4,31.77
267,2024-05-30,5436,Tablet,5,34.49
268,2024-06-12,1514,Smartphone,4,88.21
269,2024-03-13,6083,Smartphone,0,2.15
270,2024-03-04,3527,Laptop,8,71.16
271,2024-07-01,2743,Laptop,7,31.89
272,2023-09-23,8679,Smartphone,0,81.43
273,2023-12-09,9369,Tablet,2,22.54
274,2024-02-09,6386,Smartphone,0,73.48
275,2023-12-19,6938,Tablet,9,97.36
276,2024-01-13,4619,Smartwatch,5,31.2
277,2024-05-24,7931,Tablet,5,91.77
278,2024-06-15,5604,Smartphone,2,5.34
279,2023-10-19,2702,Tablet,2,70.62
280,2023-10-01,6926,Tablet,4,34.37
281,2024-06-20,3508,Laptop,5,33.03
282,2023-10-30,2519,Smartwatch,3,53.18
283,2024-06-08,7693,Tablet,9,5.48
284,2024-02-27,8007,Smartphone,7,39.22
285,2024-06-22,8680,Smartwatch,5,78.24
286,2023-10-31,8801,Smartphone,1,85.26
287,2023-11-22,1300,Smartphone,2,69.26
288,2023-12-14,8081,Laptop,0,66.55
289,2023-07-20,1966,Laptop,9,28.85
290,2024-04-25,4542,Tablet,4,15.45
291,2024-06-13,3872,Smartphone,2,86.86
292,2024-04-24,7804,Smartwatch,3,9.94
293,2023-09-29,5270,Laptop,2,15.33
294,2024-02-14,3757,Tablet,9,53.6
295,2024-07-04,2136,Laptop,1,35.33
296,2024-05-04,9879,Laptop,6,0.38
297,2024-05-27,5280,Headphones,7,88.24
298,2024-02-02,8086,Laptop,7,86.52
299,2024-05-10,9851,Smartphone,5,14.85
300,2024-07-05,3610,Headphones,4,63.54
301,2024-03-01,9711,Smartphone,0,44.92
302,2024-03-05,9387,Smartphone,8,27.45
303,2023-12-13,2374,Laptop,2,62.89
304,2023-09-16,9449,Smartwatch,3,71.24
305,2024-06-10,2230,Tablet,5,47.25
306,2024-06-09,1016,Smartphone,5,25.79
307,2024-06-16,9287,Tablet,6,38.71
308,2023-11-27,3533,Smartwatch,4,16.78
309,2024-03-31,5532,Headphones,8,8.52
310,2023-11-27,8585,Smartwatch,8,20.28
311,2024-03-18,9552,Tablet,9,14.12
312,2023-11-20,1238,Smartphone,4,1.53
313,2024-01-24,3681,Laptop,8,40.68
314,2024-02-26,4125,Tablet,8,17.53
315,2024-05-25,2363,Smartwatch,8,80.4
316,2024-01-26,5337,Tablet,4,89.55
317,2024-01-02,6967,Headphones,0,28.52
318,2023-09-06,7929,Tablet,5,98.68
319,2024-06-22,1696,Headphones,9,81.05
320,2024-01-16,6921,Smartwatch,7,88.62
321,2024-01-04,5641,Smartphone,4,16.58
322,2024-06-09,6406,Smartphone,4,32.34
323,2023-12-13,8776,Laptop,5,92.83
324,2023-11-03,4807,Smartwatch,6,40.95
325,2024-02-10,3458,Laptop,0,36.55
326,2024-04-14,5489,Smartphone,6,81.09
327,2023-12-17,3666,Smartwatch,4,35.4
328,2023-10-14,1948,Smartwatch,0,81.47
329,2023-10-25,5423,Tablet,6,15.29
330,2024-05-16,3858,Smartphone,8,6.58
331,2024-06-15,4518,Headphones,2,76.95
332,2024-01-26,8566,Tablet,9,33.47
333,2024-06-25,2167,Smartwatch,6,68.37
334,2024-05-11,4407,Smartwatch,0,17.14
335,2023-11-08,3855,Headphones,9,62.96
336,2023-10-24,5127,Smartphone,0,87.56
337,2024-04-01,9249,Laptop,6,80.19
338,2024-07-07,4418,Tablet,5,52.63
339,2023-09-16,5834,Laptop,0,69.24
340,2024-04-23,7789,Laptop,6,48.75
341,2024-03-14,7416,Tablet,9,36.46
342,2024-05-01,9338,Smartphone,8,5.29
343,2023-11-28,2328,Tablet,3,58.48
344,2023-12-15,3893,Laptop,9,68.23
345,2023-12-28,3967,Tablet,8,12.78
346,2024-01-03,9079,Tablet,8,42.74
347,2024-05-20,3132,Headphones,8,67.0
348,2024-05-06,1205,Laptop,9,21.65
349,2023-10-01,3324,Headphones,6,73.8
350,2024-07-06,2296,Headphones,3,20.06
351,2024-06-03,3722,Headphones,3,25.84
352,2023-12-05,5233,Smartphone,7,26.42
353,2023-11-02,2222,Tablet,9,15.67
354,2023-10-14,2908,Laptop,8,9.0
355,2023-11-23,7683,Smartwatch,3,84.21
356,2023-12-11,8258,Smartwatch,5,53.99
357,2024-01-13,2313,Smartwatch,2,59.31
358,2023-12-03,6376,Smartwatch,2,78.69
359,2024-05-09,8328,Headphones,9,3.58
360,2024-04-04,5516,Smartwatch,2,4.39
361,2024-04-07,9577,Smartwatch,2,48.67
362,2023-12-13,1581,Headphones,3,42.32
363,2023-10-04,8786,Tablet,3,43.2
364,2023-11-28,4292,Smartphone,8,40.36
365,2024-02-15,9541,Headphones,4,21.86
366,2023-09-25,5338,Smartphone,1,19.13
367,2023-10-18,6138,Tablet,0,98.7
368,2023-11-09,1937,Smartwatch,0,76.99
369,2024-04-17,6657,Laptop,6,38.75
370,2024-05-14,7577,Headphones,6,71.07
371,2023-11-03,6082,Headphones,3,6.11
372,2024-04-16,5890,Laptop,9,17.12
373,2024-04-09,7385,Tablet,2,81.01
374,2024-03-11,8855,Tablet,9,6.19
375,2023-10-10,5590,Tablet,1,8.8
376,2024-01-14,1292,Tablet,5,73.13
377,2023-11-25,6876,Laptop,2,49.92
378,2024-04-23,1903,Smartwatch,9,2.33
379,2024-03-08,7463,Headphones,1,38.7
380,2023-11-17,3691,Laptop,6,10.94
381,2024-04-27,8856,Smartphone,9,48.79
382,2023-08-07,7339,Headphones,7,79.7
383,2024-02-16,4055,Smartwatch,5,45.0
384,2023-09-02,5480,Smartphone,5,38.29
385,2023-11-09,1122,Laptop,4,19.86
386,2024-03-19,4864,Laptop,3,53.1
387,2024-01-24,7675,Headphones,0,85.51
388,2023-11-12,9645,Smartphone,3,34.79
389,2024-03-19,3421,Tablet,2,31.54
390,2024-03-08,2741,Smartphone,7,83.68
391,2024-01-08,5755,Tablet,0,48.6
392,2023-11-22,2021,Smartphone,1,89.34
393,2023-12-25,2527,Smartphone,8,7.71
394,2023-11-01,6802,Headphones,5,31.58
395,2023-12-07,7498,Headphones,1,90.62
396,2024-04-16,8575,Laptop,0,16.51
397,2023-07-19,8704,Laptop,7,27.28
398,2023-10-14,9937,Laptop,5,1.26
399,2024-05-01,4568,Laptop,7,88.75
400,2023-11-22,1043,Tablet,5,28.36
401,2024-03-18,6560,Smartphone,1,8.02
402,2023-08-04,2819,Smartphone,2,13.3
403,2024-04-07,5701,Smartwatch,4,73.75
404,2024-04-20,8351,Laptop,9,44.3
405,2023-07-31,9328,Headphones,5,39.41
406,2023-12-27,3005,Smartwatch,1,10.39
407,2023-09-19,2916,Tablet,8,96.2
408,2023-09-28,3610,Tablet,9,70.27
409,2023-09-19,9271,Laptop,4,3.25
410,2024-01-08,3760,Smartwatch,0,96.39
411,2024-02-24,3948,Laptop,0,1.42
412,2023-12-07,1111,Smartphone,3,59.0
413,2024-06-01,1927,Smartwatch,7,73.58
414,2023-08-22,7845,Smartphone,1,64.76
415,2024-04-02,4141,Smartphone,0,44.25
416,2023-09-01,4059,Headphones,2,93.7
417,2024-01-20,6505,Smartwatch,3,13.98
418,2024-01-16,7831,Tablet,4,22.39
419,2023-12-03,3332,Smartphone,5,29.37
420,2024-06-23,1736,Laptop,0,94.35
421,2024-02-23,3907,Laptop,5,73.92
422,2024-02-10,8804,Smartwatch,7,70.75
423,2024-07-08,3428,Headphones,0,38.55
424,2024-04-20,7694,Headphones,1,36.6
425,2024-02-15,9908,Headphones,0,27.57
426,2023-12-23,5605,Laptop,4,83.97
427,2024-05-23,4072,Smartwatch,3,15.26
428,2024-01-27,1496,Headphones,1,12.63
429,2023-12-29,7970,Smartwatch,7,26.67
430,2024-04-28,2854,Smartwatch,5,84.14
431,2024-05-15,6046,Smartwatch,2,75.62
432,2024-02-09,4626,Smartwatch,3,53.81
433,2023-10-31,2692,Laptop,5,49.77
434,2024-06-05,5101,Smartwatch,6,68.59
435,2023-11-10,6358,Smartwatch,2,68.7
436,2023-10-27,8707,Laptop,5,9.43
437,2023-11-10,7090,Laptop,8,94.9
438,2023-07-29,1316,Tablet,3,92.26
439,2023-11-25,8932,Smartwatch,5,58.91
440,2024-03-15,9454,Headphones,5,50.46
441,2023-08-08,1316,Laptop,9,59.81
442,2023-11-24,6123,Laptop,8,51.19
443,2024-02-12,3765,Laptop,9,59.92
444,2023-07-18,4847,Headphones,1,6.23
445,2023-08-18,4303,Headphones,7,0.12
446,2024-01-18,6199,Laptop,2,34.56
447,2023-11-24,5073,Headphones,2,99.17
448,2024-01-25,8032,Smartwatch,1,6.07
449,2023-10-29,5268,Smartwatch,0,67.53
450,2024-01-21,8750,Laptop,1,12.33
451,2023-08-09,5277,Smartwatch,5,19.73
452,2024-03-01,9669,Smartphone,3,0.72
453,2023-11-07,9718,Smartphone,5,98.12
454,2024-04-04,6969,Tablet,0,85.44
455,2024-06-29,8487,Headphones,2,37.97
456,2024-05-16,3794,Smartphone,1,98.98
457,2024-03-26,9297,Tablet,9,86.86
458,2023-08-13,9091,Laptop,0,92.02
459,2024-05-06,8716,Smartphone,9,21.57
460,2023-10-05,5339,Tablet,8,3.35
461,2024-06-11,7940,Tablet,6,41.09
462,2024-04-19,1778,Tablet,6,18.93
463,2023-08-11,4951,Headphones,5,17.56
464,2024-02-10,2628,Smartphone,6,12.46
465,2023-10-18,1974,Headphones,8,22.22
466,2024-03-09,8192,Laptop,7,17.18
467,2024-03-22,7451,Smartphone,8,41.91
468,2023-10-25,6750,Tablet,2,36.2
469,2023-12-04,3725,Laptop,3,4.67
470,2024-04-27,2491,Smartwatch,8,42.32
471,2024-06-21,9751,Tablet,3,56.85
472,2023-11-27,7151,Smartphone,3,88.6
473,2023-09-09,9615,Smartwatch,8,33.18
474,2024-02-14,6506,Tablet,7,61.3
475,2023-08-20,3420,Laptop,7,92.55
476,2023-10-16,8946,Laptop,5,5.06
477,2023-11-14,2286,Tablet,1,27.54
478,2023-08-30,9207,Laptop,6,61.29
479,2024-02-08,2977,Tablet,7,61.73
480,2024-01-08,2228,Tablet,9,77.01
481,2023-12-16,9952,Tablet,9,80.55
482,2023-10-18,5516,Smartwatch,3,5.06
483,2023-10-31,3676,Smartphone,5,53.58
484,2023-11-26,9484,Laptop,8,36.41
485,2024-04-26,9026,Laptop,4,16.15
486,2023-12-13,7774,Headphones,9,81.21
487,2024-06-26,2861,Tablet,4,35.91
488,2024-05-10,1238,Laptop,6,77.1
489,2023-12-31,2211,Smartwatch,6,99.75
490,2024-06-23,5895,Smartphone,5,75.83
491,2024-04-14,7880,Laptop,5,96.79
492,2023-09-20,1221,Headphones,2,78.5
493,2024-01-13,4927,Laptop,3,76.03
494,2024-05-06,6843,Headphones,8,36.64
495,2023-09-30,6082,Smartphone,6,43.99
496,2024-06-23,8638,Tablet,8,64.88
497,2024-04-25,2180,Smartwatch,9,62.93
498,2024-04-27,2453,Smartphone,8,52.05
499,2023-12-14,4514,Smartwatch,3,96.21
500,2023-07-19,4020,Smartphone,6,43.18
501,2024-04-08,8531,Headphones,7,12.29
502,2024-06-21,1032,Smartwatch,7,82.56
503,2023-09-12,5175,Laptop,1,71.09
504,2023-09-04,8511,Smartphone,7,32.36
505,2024-06-13,4843,Smartwatch,1,27.13
506,2024-07-05,5692,Smartwatch,3,12.78
507,2023-08-06,9678,Tablet,8,37.69
508,2023-10-26,5230,Smartphone,0,28.38
509,2024-05-30,9230,Laptop,8,81.94
510,2023-11-10,4859,Headphones,9,28.14
511,2024-01-15,3738,Tablet,6,96.12
512,2023-08-10,3827,Smartphone,0,3.64
513,2023-10-15,2285,Tablet,8,32.36
514,2024-06-26,9398,Tablet,6,43.98
515,2024-06-25,6047,Smartwatch,7,19.9
516,2024-01-30,6704,Smartphone,0,23.88
517,2024-03-02,2509,Tablet,8,88.98
518,2024-04-11,7115,Laptop,4,75.63
519,2024-04-30,6827,Headphones,9,65.74
520,2024-07-04,2157,Smartphone,8,83.95
521,2023-08-21,3556,Smartwatch,1,69.39
522,2023-12-10,2423,Smartwatch,5,96.35
523,2023-10-08,1016,Headphones,8,69.94
524,2024-06-04,5133,Smartwatch,6,20.97
525,2023-11-20,2101,Smartphone,7,22.93
526,2024-02-23,1342,Smartphone,1,31.42
527,2023-07-20,7736,Smartwatch,9,4.29
528,2024-04-16,4735,Headphones,0,6.16
529,2024-01-24,5043,Headphones,3,72.66
530,2024-01-11,5544,Smartwatch,6,54.42
531,2023-12-07,2267,Smartwatch,3,22.88
532,2024-01-17,6165,Tablet,4,67.38
533,2023-12-01,8657,Smartwatch,9,23.82
534,2024-04-05,4812,Headphones,6,21.47
535,2024-03-05,8367,Headphones,0,70.04
536,2023-09-14,8809,Smartwatch,6,66.07
537,2023-11-18,3294,Smartphone,6,76.08
538,2024-05-11,1390,Smartwatch,9,79.72
539,2024-02-10,4714,Laptop,6,62.07
540,2024-03-30,9722,Laptop,2,3.82
541,2023-12-04,8364,Smartphone,0,55.51
542,2023-07-31,9899,Tablet,9,50.33
543,2023-12-22,9625,Headphones,2,65.14
544,2024-02-03,4953,Headphones,0,16.84
545,2023-10-27,6032,Tablet,2,36.44
546,2023-09-12,3342,Laptop,2,94.63
547,2023-12-16,8778,Laptop,3,47.55
548,2024-06-15,1959,Smartphone,6,59.38
549,2023-11-09,8339,Smartwatch,6,95.69
550,2024-05-22,7226,Headphones,6,54.2
551,2023-12-20,4534,Smartwatch,8,2.95
552,2023-08-05,5714,Headphones,7,3.72
553,2024-07-02,8426,Tablet,5,49.13
554,2024-01-26,9079,Smartphone,0,15.21
555,2024-04-24,1226,Headphones,2,3.61
556,2023-07-28,4151,Laptop,6,94.8
557,2024-03-20,9616,Tablet,5,35.4
558,2023-11-12,9532,Headphones,9,77.07
559,2024-03-14,5093,Smartphone,1,31.42
560,2024-06-15,9116,Laptop,0,53.93
561,2023-10-27,4221,Tablet,6,88.46
562,2024-02-20,6964,Tablet,1,0.45
563,2024-03-22,4131,Smartphone,6,27.5
564,2024-01-12,2604,Smartwatch,0,41.87
565,2024-04-04,2198,Smartwatch,2,19.44
566,2024-01-12,2289,Headphones,5,94.29
567,2023-11-08,5913,Laptop,8,65.55
568,2024-02-23,1510,Tablet,1,34.95
569,2024-04-11,5107,Smartphone,8,86.51
570,2023-10-16,8370,Headphones,1,62.55
571,2024-06-06,3952,Laptop,5,59.94
572,2024-01-04,1795,Smartphone,1,62.4
573,2024-05-26,3468,Smartphone,0,87.36
574,2024-02-21,6149,Smartwatch,2,81.55
575,2023-11-04,1855,Tablet,5,66.39
576,2023-10-31,4056,Smartphone,6,90.77
577,2023-10-04,3869,Smartwatch,4,34.32
578,2023-09-17,3359,Tablet,1,58.43
579,2024-06-07,6170,Smartwatch,7,51.74
580,2024-04-11,7279,Tablet,8,81.38
581,2024-03-27,8376,Headphones,0,10.57
582,2024-06-21,8260,Headphones,4,83.94
583,2023-08-07,3609,Headphones,1,3.98
584,2023-08-06,8386,Tablet,3,47.9
585,2023-09-14,9978,Headphones,9,9.68
586,2023-09-09,7690,Headphones,4,12.43
587,2023-08-07,8217,Smartphone,9,89.46
588,2023-09-29,5085,Headphones,2,68.15
589,2023-11-17,8934,Smartphone,9,31.82
